id,amount,updated_at
"00084",45000,"07/04/2026 22:50:17"
"00085",63000,"07/04/2026 22:50:17"
"00086",58565,"07/04/2026 22:50:17"
"00087",23000,"07/04/2026 22:50:17"
"00088",6500000,"07/04/2026 22:50:17"
"00089",25700,"07/04/2026 22:50:17"
"00090",8500,"07/04/2026 22:50:17"
"00091",69300,"07/04/2026 22:50:17"
"00092",85400,"07/04/2026 22:50:17"
"00093",96200,"07/04/2026 22:50:17"
"00094",89000,"07/04/2026 22:50:17"
"00095",58000,"07/04/2026 22:50:17"
"00096",47000,"07/04/2026 22:50:17"
"00097",69400,"07/04/2026 22:50:17"
"00098",25000,"07/04/2026 22:50:17"
"00099",36000,"07/04/2026 22:50:17"
"000100",41000,"07/04/2026 22:50:17"
"000101",250000,"07/04/2026 22:50:17"
"000102",2566000,"07/04/2026 22:50:17"
"000103",10000,"07/04/2026 22:50:17"
"000104",15900,"07/04/2026 22:50:17"
"000105",45000,"07/04/2026 22:50:17"
"000106",63000,"07/04/2026 22:50:17"
"000107",58565,"07/04/2026 22:50:17"
"000108",23000,"07/04/2026 22:50:17"
"000109",6500000,"07/04/2026 22:50:17"
"000110",25700,"07/04/2026 22:50:17"
"000111",8500,"07/04/2026 22:50:17"
"000112",69300,"07/04/2026 22:50:17"
"000113",85400,"07/04/2026 22:50:17"
"000114",96200,"07/04/2026 22:50:17"
"000115",89000,"07/04/2026 22:50:17"
"000116",58000,"07/04/2026 22:50:17"
"000117",47000,"07/04/2026 22:50:17"
"000118",69400,"07/04/2026 22:50:17"
"000119",25000,"07/04/2026 22:50:17"
"000120",36000,"07/04/2026 22:50:17"
"000121",41000,"07/04/2026 22:50:17"
"000122",82000,"07/04/2026 22:50:17"
"000123",93000,"07/04/2026 22:50:17"
"000124",71000,"07/04/2026 22:50:17"
"000125",37000,"07/04/2026 22:50:17"
"000126",24000,"07/04/2026 22:50:17"
"000127",68000,"07/04/2026 22:50:17"
"000128",91000,"07/04/2026 22:50:17"
"000129",42000,"07/04/2026 22:50:17"
"000130",53000,"07/04/2026 22:50:17"
"000131",75000,"07/04/2026 22:50:17"
"000132",860000,"07/04/2026 22:50:17"
"000133",45600,"07/04/2026 22:50:17"
"000134",78900,"07/04/2026 22:50:17"
"000135",12300,"07/04/2026 22:50:17"
"000136",85000,"07/04/2026 22:50:17"
"000137",97000,"07/04/2026 22:50:17"
"000138",96000,"07/04/2026 22:50:17"
"000139",85000,"07/04/2026 22:50:17"
"000140",250000,"07/04/2026 22:50:17"
"000141",2566000,"07/04/2026 22:50:17"
"000142",10000,"07/04/2026 22:50:17"
"000143",15900,"07/04/2026 22:50:17"
"000144",45000,"07/04/2026 22:50:17"
"000145",63000,"07/04/2026 22:50:17"
"000146",58565,"07/04/2026 22:50:17"
"000147",23000,"07/04/2026 22:50:17"
"000148",6500000,"07/04/2026 22:50:17"
"000149",25700,"07/04/2026 22:50:17"
"000150",8500,"07/04/2026 22:50:17"
"000151",69300,"07/04/2026 22:50:17"
"000152",85400,"07/04/2026 22:50:17"
"000153",96200,"07/04/2026 22:50:17"
"000154",89000,"07/04/2026 22:50:17"
"000155",58000,"07/04/2026 22:50:17"
"000156",47000,"07/04/2026 22:50:17"
"000157",69400,"07/04/2026 22:50:17"
"000158",25000,"07/04/2026 22:50:17"
"000159",36000,"07/04/2026 22:50:17"
"000160",41000,"07/04/2026 22:50:17"
"000161",82000,"07/04/2026 22:50:17"
"000162",93000,"07/04/2026 22:50:17"
"000163",71000,"07/04/2026 22:50:17"
"000164",37000,"07/04/2026 22:50:17"
"000165",24000,"07/04/2026 22:50:17"
"000166",68000,"07/04/2026 22:50:17"
"000167",91000,"07/04/2026 22:50:17"
"000168",42000,"07/04/2026 22:50:17"
"000169",53000,"07/04/2026 22:50:17"
"000170",75000,"07/04/2026 22:50:17"
"000171",860000,"07/04/2026 22:50:17"
"000172",45600,"07/04/2026 22:50:17"
"000173",78900,"07/04/2026 22:50:17"
"000174",12300,"07/04/2026 22:50:17"
"000175",85000,"07/04/2026 22:50:17"
"000176",97000,"07/04/2026 22:50:17"
"000177",96000,"07/04/2026 22:50:17"
"000178",85000,"07/04/2026 22:50:17"
"000179",250000,"07/04/2026 22:50:17"
"000180",2566000,"07/04/2026 22:50:17"
"000181",10000,"07/04/2026 22:50:17"
"000182",15900,"07/04/2026 22:50:17"
"000183",45000,"07/04/2026 22:50:17"
"000184",63000,"07/04/2026 22:50:17"
"000185",58565,"07/04/2026 22:50:17"
"000186",23000,"07/04/2026 22:50:17"
"000187",6500000,"07/04/2026 22:50:17"
"000188",25700,"07/04/2026 22:50:17"
"000189",8500,"07/04/2026 22:50:17"
"000190",69300,"07/04/2026 22:50:17"
"000191",85400,"07/04/2026 22:50:17"
"000192",96200,"07/04/2026 22:50:17"
"000193",89000,"07/04/2026 22:50:17"
"000194",58000,"07/04/2026 22:50:17"
"000195",47000,"07/04/2026 22:50:17"
"000196",69400,"07/04/2026 22:50:17"
"000197",25000,"07/04/2026 22:50:17"
"000198",36000,"07/04/2026 22:50:17"
"000199",41000,"07/04/2026 22:50:17"
"000200",250000,"07/04/2026 22:50:17"
"000201",2566000,"07/04/2026 22:50:17"
"000202",10000,"07/04/2026 22:50:17"
"000203",15900,"07/04/2026 22:50:17"
"000204",45000,"07/04/2026 22:50:17"
"000205",63000,"07/04/2026 22:50:17"
"000206",58565,"07/04/2026 22:50:17"
"000207",23000,"07/04/2026 22:50:17"
"000208",6500000,"07/04/2026 22:50:17"
"000209",25700,"07/04/2026 22:50:17"
"000210",8500,"07/04/2026 22:50:17"
"000211",69300,"07/04/2026 22:50:17"
"000212",85400,"07/04/2026 22:50:17"
"000213",96200,"07/04/2026 22:50:17"
"000214",89000,"07/04/2026 22:50:17"
"000215",58000,"07/04/2026 22:50:17"
"000216",47000,"07/04/2026 22:50:17"
"000217",69400,"07/04/2026 22:50:17"
"000218",25000,"07/04/2026 22:50:17"
"000219",36000,"07/04/2026 22:50:17"
"000220",41000,"07/04/2026 22:50:17"
"000221",82000,"07/04/2026 22:50:17"
"000222",93000,"07/04/2026 22:50:17"
"000223",71000,"07/04/2026 22:50:17"
"000224",37000,"07/04/2026 22:50:17"
"000225",24000,"07/04/2026 22:50:17"
"000226",68000,"07/04/2026 22:50:17"
"000227",91000,"07/04/2026 22:50:17"
"000228",42000,"07/04/2026 22:50:17"
"000229",53000,"07/04/2026 22:50:17"
"000230",75000,"07/04/2026 22:50:17"
"000231",860000,"07/04/2026 22:50:17"
"000232",45600,"07/04/2026 22:50:17"
"000233",78900,"07/04/2026 22:50:17"
"000234",12300,"07/04/2026 22:50:17"
"000235",85000,"07/04/2026 22:50:17"
"000236",97000,"07/04/2026 22:50:17"
"000237",96000,"07/04/2026 22:50:17"
"000238",85000,"07/04/2026 22:50:17"
"000239",250000,"07/04/2026 22:50:17"
"000240",2566000,"07/04/2026 22:50:17"
"000241",10000,"07/04/2026 22:50:17"
"000242",15900,"07/04/2026 22:50:17"
"000243",45000,"07/04/2026 22:50:17"
"000244",63000,"07/04/2026 22:50:17"
"000245",58565,"07/04/2026 22:50:17"
"000246",23000,"07/04/2026 22:50:17"
"000247",6500000,"07/04/2026 22:50:17"
"000248",25700,"07/04/2026 22:50:17"
"000249",8500,"07/04/2026 22:50:17"
"000250",69300,"07/04/2026 22:50:17"
"000251",85400,"07/04/2026 22:50:17"
"000252",96200,"07/04/2026 22:50:17"
"000253",89000,"07/04/2026 22:50:17"
"000254",58000,"07/04/2026 22:50:17"
"000255",47000,"07/04/2026 22:50:17"
"000256",69400,"07/04/2026 22:50:17"
"000257",25000,"07/04/2026 22:50:17"
"000258",36000,"07/04/2026 22:50:17"
"000259",41000,"07/04/2026 22:50:17"
"000260",82000,"07/04/2026 22:50:17"
"000261",93000,"07/04/2026 22:50:17"
"000262",71000,"07/04/2026 22:50:17"
"000263",37000,"07/04/2026 22:50:17"
"000264",24000,"07/04/2026 22:50:17"
"000265",68000,"07/04/2026 22:50:17"
"000266",91000,"07/04/2026 22:50:17"
"000267",42000,"07/04/2026 22:50:17"
"000268",53000,"07/04/2026 22:50:17"
"000269",75000,"07/04/2026 22:50:17"
"000270",860000,"07/04/2026 22:50:17"
"000271",45600,"07/04/2026 22:50:17"
"000272",78900,"07/04/2026 22:50:17"
"000273",12300,"07/04/2026 22:50:17"
"000274",85000,"07/04/2026 22:50:17"
"000275",97000,"07/04/2026 22:50:17"
"000276",96000,"07/04/2026 22:50:17"
"000277",85000,"07/04/2026 22:50:17"
"000278",250000,"07/04/2026 22:50:17"
"000279",2566000,"07/04/2026 22:50:17"
"000280",10000,"07/04/2026 22:50:17"
"000281",15900,"07/04/2026 22:50:17"
"000282",45000,"07/04/2026 22:50:17"
"000283",63000,"07/04/2026 22:50:17"
"000284",58565,"07/04/2026 22:50:17"
"000285",23000,"07/04/2026 22:50:17"
"000286",6500000,"07/04/2026 22:50:17"
"000287",25700,"07/04/2026 22:50:17"
"000288",8500,"07/04/2026 22:50:17"
"000289",69300,"07/04/2026 22:50:17"
"000290",85400,"07/04/2026 22:50:17"
"000291",96200,"07/04/2026 22:50:17"
"000292",89000,"07/04/2026 22:50:17"
"000293",58000,"07/04/2026 22:50:17"
"000294",47000,"07/04/2026 22:50:17"
"000295",69400,"07/04/2026 22:50:17"
"000296",25000,"07/04/2026 22:50:17"
"000297",36000,"07/04/2026 22:50:17"
"000298",41000,"07/04/2026 22:50:17"
"000299",250000,"07/04/2026 22:50:17"
"000300",2566000,"07/04/2026 22:50:17"
"000301",10000,"07/04/2026 22:50:17"
"000302",15900,"07/04/2026 22:50:17"
"000303",45000,"07/04/2026 22:50:17"
"000304",63000,"07/04/2026 22:50:17"
"000305",58565,"07/04/2026 22:50:17"
"000306",23000,"07/04/2026 22:50:17"
"000307",6500000,"07/04/2026 22:50:17"
"000308",25700,"07/04/2026 22:50:17"
"000309",8500,"07/04/2026 22:50:17"
"000310",69300,"07/04/2026 22:50:17"
"000311",85400,"07/04/2026 22:50:17"
"000312",96200,"07/04/2026 22:50:17"
"000313",89000,"07/04/2026 22:50:17"
"000314",58000,"07/04/2026 22:50:17"
"000315",47000,"07/04/2026 22:50:17"
"000316",69400,"07/04/2026 22:50:17"
"000317",25000,"07/04/2026 22:50:17"
"000318",36000,"07/04/2026 22:50:17"
"000319",41000,"07/04/2026 22:50:17"
"000320",82000,"07/04/2026 22:50:17"
"000321",93000,"07/04/2026 22:50:17"
"000322",71000,"07/04/2026 22:50:17"
"000323",37000,"07/04/2026 22:50:17"
"000324",24000,"07/04/2026 22:50:17"
"000325",68000,"07/04/2026 22:50:17"
"000326",91000,"07/04/2026 22:50:17"
"000327",42000,"07/04/2026 22:50:17"
"000328",53000,"07/04/2026 22:50:17"
"000329",75000,"07/04/2026 22:50:17"
"000330",860000,"07/04/2026 22:50:17"
"000331",45600,"07/04/2026 22:50:17"
"000332",78900,"07/04/2026 22:50:17"
"000333",12300,"07/04/2026 22:50:17"
"000334",85000,"07/04/2026 22:50:17"
"000335",97000,"07/04/2026 22:50:17"
"000336",96000,"07/04/2026 22:50:17"
"000337",85000,"07/04/2026 22:50:17"
"000338",250000,"07/04/2026 22:50:17"
"000339",2566000,"07/04/2026 22:50:17"
"000340",10000,"07/04/2026 22:50:17"
"000341",15900,"07/04/2026 22:50:17"
"000342",45000,"07/04/2026 22:50:17"
"000343",63000,"07/04/2026 22:50:17"
"000344",58565,"07/04/2026 22:50:17"
"000345",23000,"07/04/2026 22:50:17"
"000346",6500000,"07/04/2026 22:50:17"
"000347",25700,"07/04/2026 22:50:17"
"000348",8500,"07/04/2026 22:50:17"
"000349",69300,"07/04/2026 22:50:17"
"000350",85400,"07/04/2026 22:50:17"
"000351",96200,"07/04/2026 22:50:17"
"000352",89000,"07/04/2026 22:50:17"
"000353",58000,"07/04/2026 22:50:17"
"000354",47000,"07/04/2026 22:50:17"
"000355",69400,"07/04/2026 22:50:17"
"000356",25000,"07/04/2026 22:50:17"
"000357",36000,"07/04/2026 22:50:17"
"000358",41000,"07/04/2026 22:50:17"
"000359",82000,"07/04/2026 22:50:17"
"000360",93000,"07/04/2026 22:50:17"
"000361",71000,"07/04/2026 22:50:17"
"000362",37000,"07/04/2026 22:50:17"
"000363",24000,"07/04/2026 22:50:17"
"000364",68000,"07/04/2026 22:50:17"
"000365",91000,"07/04/2026 22:50:17"
"000366",42000,"07/04/2026 22:50:17"
"000367",53000,"07/04/2026 22:50:17"
"000368",75000,"07/04/2026 22:50:17"
"000369",860000,"07/04/2026 22:50:17"
"000370",45600,"07/04/2026 22:50:17"
"000371",78900,"07/04/2026 22:50:17"
"000372",12300,"07/04/2026 22:50:17"
"000373",85000,"07/04/2026 22:50:17"
"000374",97000,"07/04/2026 22:50:17"
"000375",96000,"07/04/2026 22:50:17"
"000376",85000,"07/04/2026 22:50:17"
"000377",250000,"07/04/2026 22:50:17"
"000378",2566000,"07/04/2026 22:50:17"
"000379",10000,"07/04/2026 22:50:17"
"000380",15900,"07/04/2026 22:50:17"
"000381",45000,"07/04/2026 22:50:17"
"000382",63000,"07/04/2026 22:50:17"
"000383",58565,"07/04/2026 22:50:17"
"000384",23000,"07/04/2026 22:50:17"
"000385",6500000,"07/04/2026 22:50:17"
"000386",25700,"07/04/2026 22:50:17"
"000387",8500,"07/04/2026 22:50:17"
"000388",69300,"07/04/2026 22:50:17"
"000389",85400,"07/04/2026 22:50:17"
"000390",96200,"07/04/2026 22:50:17"
"000391",89000,"07/04/2026 22:50:17"
"000392",58000,"07/04/2026 22:50:17"
"000393",47000,"07/04/2026 22:50:17"
"000394",69400,"07/04/2026 22:50:17"
"000395",25000,"07/04/2026 22:50:17"
"000396",36000,"07/04/2026 22:50:17"
"000397",41000,"07/04/2026 22:50:17"
"000398",250000,"07/04/2026 22:50:17"
"000399",2566000,"07/04/2026 22:50:17"
"000400",10000,"07/04/2026 22:50:17"
"000401",15900,"07/04/2026 22:50:17"
"000402",45000,"07/04/2026 22:50:17"
"000403",63000,"07/04/2026 22:50:17"
"000404",58565,"07/04/2026 22:50:17"
"000405",23000,"07/04/2026 22:50:17"
"000406",6500000,"07/04/2026 22:50:17"
"000407",25700,"07/04/2026 22:50:17"
"000408",8500,"07/04/2026 22:50:17"
"000409",69300,"07/04/2026 22:50:17"
"000410",85400,"07/04/2026 22:50:17"
"000411",96200,"07/04/2026 22:50:17"
"000412",89000,"07/04/2026 22:50:17"
"000413",58000,"07/04/2026 22:50:17"
"000414",47000,"07/04/2026 22:50:17"
"000415",69400,"07/04/2026 22:50:17"
"000416",25000,"07/04/2026 22:50:17"
"000417",36000,"07/04/2026 22:50:17"
"000418",41000,"07/04/2026 22:50:17"
"000419",82000,"07/04/2026 22:50:17"
"000420",93000,"07/04/2026 22:50:17"
"000421",71000,"07/04/2026 22:50:17"
"000422",37000,"07/04/2026 22:50:17"
"000423",24000,"07/04/2026 22:50:17"
"000424",68000,"07/04/2026 22:50:17"
"000425",91000,"07/04/2026 22:50:17"
"000426",42000,"07/04/2026 22:50:17"
"000427",53000,"07/04/2026 22:50:17"
"000428",75000,"07/04/2026 22:50:17"
"000429",860000,"07/04/2026 22:50:17"
"000430",45600,"07/04/2026 22:50:17"
"000431",78900,"07/04/2026 22:50:17"
"000432",12300,"07/04/2026 22:50:17"
"000433",85000,"07/04/2026 22:50:17"
"000434",97000,"07/04/2026 22:50:17"
"000435",96000,"07/04/2026 22:50:17"
"000436",85000,"07/04/2026 22:50:17"
"000437",250000,"07/04/2026 22:50:17"
"000438",2566000,"07/04/2026 22:50:17"
"000439",10000,"07/04/2026 22:50:17"
"000440",15900,"07/04/2026 22:50:17"
"000441",45000,"07/04/2026 22:50:17"
"000442",63000,"07/04/2026 22:50:17"
"000443",58565,"07/04/2026 22:50:17"
"000444",23000,"07/04/2026 22:50:17"
"000445",6500000,"07/04/2026 22:50:17"
"000446",25700,"07/04/2026 22:50:17"
"000447",8500,"07/04/2026 22:50:17"
"000448",69300,"07/04/2026 22:50:17"
"000449",85400,"07/04/2026 22:50:17"
"000450",96200,"07/04/2026 22:50:17"
"000451",89000,"07/04/2026 22:50:17"
"000452",58000,"07/04/2026 22:50:17"
"000453",47000,"07/04/2026 22:50:17"
"000454",69400,"07/04/2026 22:50:17"
"000455",25000,"07/04/2026 22:50:17"
"000456",36000,"07/04/2026 22:50:17"
"000457",41000,"07/04/2026 22:50:17"
"000458",82000,"07/04/2026 22:50:17"
"000459",93000,"07/04/2026 22:50:17"
"000460",71000,"07/04/2026 22:50:17"
"000461",37000,"07/04/2026 22:50:17"
"000462",24000,"07/04/2026 22:50:17"
"000463",68000,"07/04/2026 22:50:17"
"000464",91000,"07/04/2026 22:50:17"
"000465",42000,"07/04/2026 22:50:17"
"000466",53000,"07/04/2026 22:50:17"
"000467",75000,"07/04/2026 22:50:17"
"000468",860000,"07/04/2026 22:50:17"
"000469",45600,"07/04/2026 22:50:17"
"000470",78900,"07/04/2026 22:50:17"
"000471",12300,"07/04/2026 22:50:17"
"000472",85000,"07/04/2026 22:50:17"
"000473",97000,"07/04/2026 22:50:17"
"000474",96000,"07/04/2026 22:50:17"
"000475",85000,"07/04/2026 22:50:17"
"000476",250000,"07/04/2026 22:50:17"
"000477",2566000,"07/04/2026 22:50:17"
"000478",10000,"07/04/2026 22:50:17"
"000479",15900,"07/04/2026 22:50:17"
"000480",45000,"07/04/2026 22:50:17"
"000481",63000,"07/04/2026 22:50:17"
"000482",58565,"07/04/2026 22:50:17"
"000483",23000,"07/04/2026 22:50:17"
"000484",6500000,"07/04/2026 22:50:17"
"000485",25700,"07/04/2026 22:50:17"
"000486",8500,"07/04/2026 22:50:17"
"000487",69300,"07/04/2026 22:50:17"
"000488",85400,"07/04/2026 22:50:17"
"000489",96200,"07/04/2026 22:50:17"
"000490",89000,"07/04/2026 22:50:17"
"000491",58000,"07/04/2026 22:50:17"
"000492",47000,"07/04/2026 22:50:17"
"000493",69400,"07/04/2026 22:50:17"
"000494",25000,"07/04/2026 22:50:17"
"000495",36000,"07/04/2026 22:50:17"
"000496",41000,"07/04/2026 22:50:17"
"000497",250000,"07/04/2026 22:50:17"
"000498",2566000,"07/04/2026 22:50:17"
"000499",10000,"07/04/2026 22:50:17"
"000500",15900,"07/04/2026 22:50:17"
"000501",45000,"07/04/2026 22:50:17"
"000502",63000,"07/04/2026 22:50:17"
"000503",58565,"07/04/2026 22:50:17"
"000504",23000,"07/04/2026 22:50:17"
"000505",6500000,"07/04/2026 22:50:17"
"000506",25700,"07/04/2026 22:50:17"
"000507",8500,"07/04/2026 22:50:17"
"000508",69300,"07/04/2026 22:50:17"
"000509",85400,"07/04/2026 22:50:17"
"000510",96200,"07/04/2026 22:50:17"
"000511",89000,"07/04/2026 22:50:17"
"000512",58000,"07/04/2026 22:50:17"
"000513",47000,"07/04/2026 22:50:17"
"000514",69400,"07/04/2026 22:50:17"
"000515",25000,"07/04/2026 22:50:17"
"000516",36000,"07/04/2026 22:50:17"
"000517",41000,"07/04/2026 22:50:17"
"000518",82000,"07/04/2026 22:50:17"
"000519",93000,"07/04/2026 22:50:17"
"000520",71000,"07/04/2026 22:50:17"
"000521",37000,"07/04/2026 22:50:17"
"000522",24000,"07/04/2026 22:50:17"
"000523",68000,"07/04/2026 22:50:17"
"000524",91000,"07/04/2026 22:50:17"
"000525",42000,"07/04/2026 22:50:17"
"000526",53000,"07/04/2026 22:50:17"
"000527",75000,"07/04/2026 22:50:17"
"000528",860000,"07/04/2026 22:50:17"
"000529",45600,"07/04/2026 22:50:17"
"000530",78900,"07/04/2026 22:50:17"
"000531",12300,"07/04/2026 22:50:17"
"000532",85000,"07/04/2026 22:50:17"
"000533",97000,"07/04/2026 22:50:17"
"000534",96000,"07/04/2026 22:50:17"
"000535",85000,"07/04/2026 22:50:17"
"000536",250000,"07/04/2026 22:50:17"
"000537",2566000,"07/04/2026 22:50:17"
"000538",10000,"07/04/2026 22:50:17"
"000539",15900,"07/04/2026 22:50:17"
"000540",45000,"07/04/2026 22:50:17"
"000541",63000,"07/04/2026 22:50:17"
"000542",58565,"07/04/2026 22:50:17"
"000543",23000,"07/04/2026 22:50:17"
"000544",6500000,"07/04/2026 22:50:17"
"000545",25700,"07/04/2026 22:50:17"
"000546",8500,"07/04/2026 22:50:17"
"000547",69300,"07/04/2026 22:50:17"
"000548",85400,"07/04/2026 22:50:17"
"000549",96200,"07/04/2026 22:50:17"
"000550",89000,"07/04/2026 22:50:17"
"000551",58000,"07/04/2026 22:50:17"
"000552",47000,"07/04/2026 22:50:17"
"000553",69400,"07/04/2026 22:50:17"
"000554",25000,"07/04/2026 22:50:17"
"000555",36000,"07/04/2026 22:50:17"
"000556",41000,"07/04/2026 22:50:17"
"000557",82000,"07/04/2026 22:50:17"
"000558",93000,"07/04/2026 22:50:17"
"000559",71000,"07/04/2026 22:50:17"
"000560",37000,"07/04/2026 22:50:17"
"000561",24000,"07/04/2026 22:50:17"
"000562",68000,"07/04/2026 22:50:17"
"000563",91000,"07/04/2026 22:50:17"
"000564",42000,"07/04/2026 22:50:17"
"000565",53000,"07/04/2026 22:50:17"
"000566",75000,"07/04/2026 22:50:17"
"000567",860000,"07/04/2026 22:50:17"
"000568",45600,"07/04/2026 22:50:17"
"000569",78900,"07/04/2026 22:50:17"
"000570",12300,"07/04/2026 22:50:17"
"000571",85000,"07/04/2026 22:50:17"
"000572",97000,"07/04/2026 22:50:17"
"000573",96000,"07/04/2026 22:50:17"
"000574",85000,"07/04/2026 22:50:17"
"000575",250000,"07/04/2026 22:50:17"
"000576",2566000,"07/04/2026 22:50:17"
"000577",10000,"07/04/2026 22:50:17"
"000578",15900,"07/04/2026 22:50:17"
"000579",45000,"07/04/2026 22:50:17"
"000580",63000,"07/04/2026 22:50:17"
"000581",58565,"07/04/2026 22:50:17"
"000582",23000,"07/04/2026 22:50:17"
"000583",6500000,"07/04/2026 22:50:17"
"000584",25700,"07/04/2026 22:50:17"
"000585",8500,"07/04/2026 22:50:17"
"000586",69300,"07/04/2026 22:50:17"
"000587",85400,"07/04/2026 22:50:17"
"000588",96200,"07/04/2026 22:50:17"
"000589",89000,"07/04/2026 22:50:17"
"000590",58000,"07/04/2026 22:50:17"
"000591",47000,"07/04/2026 22:50:17"
"000592",69400,"07/04/2026 22:50:17"
"000593",25000,"07/04/2026 22:50:17"
"000594",36000,"07/04/2026 22:50:17"
"000595",41000,"07/04/2026 22:50:17"
"000596",250000,"07/04/2026 22:50:17"
"000597",2566000,"07/04/2026 22:50:17"
"000598",10000,"07/04/2026 22:50:17"
"000599",15900,"07/04/2026 22:50:17"
"000600",45000,"07/04/2026 22:50:17"
"000601",63000,"07/04/2026 22:50:17"
"000602",58565,"07/04/2026 22:50:17"
"000603",23000,"07/04/2026 22:50:17"
"000604",6500000,"07/04/2026 22:50:17"
"000605",25700,"07/04/2026 22:50:17"
"000606",8500,"07/04/2026 22:50:17"
"000607",69300,"07/04/2026 22:50:17"
"000608",85400,"07/04/2026 22:50:17"
"000609",96200,"07/04/2026 22:50:17"
"000610",89000,"07/04/2026 22:50:17"
"000611",58000,"07/04/2026 22:50:17"
"000612",47000,"07/04/2026 22:50:17"
"000613",69400,"07/04/2026 22:50:17"
"000614",25000,"07/04/2026 22:50:17"
"000615",36000,"07/04/2026 22:50:17"
"000616",41000,"07/04/2026 22:50:17"
"000617",82000,"07/04/2026 22:50:17"
"000618",93000,"07/04/2026 22:50:17"
"000619",71000,"07/04/2026 22:50:17"
"000620",37000,"07/04/2026 22:50:17"
"000621",24000,"07/04/2026 22:50:17"
"000622",68000,"07/04/2026 22:50:17"
"000623",91000,"07/04/2026 22:50:17"
"000624",42000,"07/04/2026 22:50:17"
"000625",53000,"07/04/2026 22:50:17"
"000626",75000,"07/04/2026 22:50:17"
"000627",860000,"07/04/2026 22:50:17"
"000628",45600,"07/04/2026 22:50:17"
"000629",78900,"07/04/2026 22:50:17"
"000630",12300,"07/04/2026 22:50:17"
"000631",85000,"07/04/2026 22:50:17"
"000632",97000,"07/04/2026 22:50:17"
"000633",96000,"07/04/2026 22:50:17"
"000634",85000,"07/04/2026 22:50:17"
